,country,year,hdi,life_expectancy,population,continent,EFConsPerCap,EFConsTotGHA,BiocapPerCap,BiocapTotGHA
0,Afghanistan,2000,0.34,55.482,20093756.0,Asia,0.648084626,12768498.74,0.509766673,10043372.21
1,Afghanistan,2001,0.341,56.044,20966463.0,Asia,0.605819746,12438205.89,0.500063051,10266894.13
2,Afghanistan,2002,0.373,56.637,21979923.0,Asia,0.704060936,15128227.46,0.570591176,12260349.44
3,Afghanistan,2003,0.381,57.25,23064851.0,Asia,0.708856259,15954511.65,0.5910325670000001,13302606.63
4,Afghanistan,2004,0.396,57.875,24118979.0,Asia,0.619414181,14556109.86,0.502825366,11816295.92
5,Afghanistan,2005,0.405,58.5,25070798.0,Asia,0.708986617,17299202.84,0.5945236420000001,14506317.65
6,Afghanistan,2006,0.415,59.11,25893450.0,Asia,0.654876241,16492141.06,0.528830165,13317847.13
7,Afghanistan,2007,0.433,59.693999999999996,26616792.0,Asia,0.703090355,18194220.65,0.58099918,15034806.27
8,Afghanistan,2008,0.434,60.243,27294031.0,Asia,0.682132719,18096093.74,0.46334252,12291874.34
9,Afghanistan,2009,0.44799999999999995,60.754,28004331.0,Asia,0.8020584829999999,21821846.38,0.57878674,15747224.93
10,Afghanistan,2010,0.45399999999999996,61.226000000000006,28803167.0,Asia,0.822860952,23009001.88,0.544554405,15226938.77
11,Afghanistan,2011,0.46299999999999997,61.666000000000004,29708599.0,Asia,0.797577077,22977556.9,0.45773801399999997,13187065.65
12,Afghanistan,2012,0.47,62.086000000000006,30696958.0,Asia,0.8095183640000001,24064391.12,0.51868752,15418920.59
13,Afghanistan,2013,0.47600000000000003,62.494,31731688.0,Asia,0.790375119,24250684.59,0.507789245,15580243.51
14,Afghanistan,2014,0.479,62.895,32758020.0,Asia,0.7722600620000001,24424655.11,0.504076701,15942685.87
15,Albania,2000,0.662,73.955,3089027.0,Europe,1.5258481369999999,4763652.065,0.867622033,2708689.932
16,Albania,2001,0.67,74.286,3060173.0,Europe,1.5238003999999998,4760489.726,0.849610668,2654260.265
17,Albania,2002,0.674,74.575,3051010.0,Europe,1.733828673,5414937.853999999,0.8528745090000001,2663621.0
18,Albania,2003,0.6809999999999999,74.82,3039616.0,Europe,1.729893665,5392147.818,0.832269125,2594216.1859999998
19,Albania,2004,0.685,75.028,3026939.0,Europe,1.880194874,5835673.6620000005,0.8594393379999999,2667493.4469999997
20,Albania,2005,0.696,75.217,3011487.0,Europe,1.9292485430000001,5946271.831,0.8595081929999999,2649150.3
21,Albania,2006,0.703,75.418,2992547.0,Europe,2.058032281,6278521.382,0.870792668,2656562.017
22,Albania,2007,0.713,75.656,2970017.0,Europe,2.1814052719999997,6567884.276000001,0.876055437,2637671.598
23,Albania,2008,0.721,75.943,2947314.0,Europe,2.195754988,6517066.743,0.96448443,2862618.752
24,Albania,2009,0.725,76.281,2927519.0,Europe,2.2543498619999998,6604996.874,1.004514,2943115.415
25,Albania,2010,0.738,76.652,2913021.0,Europe,2.183636214,6336649.999,1.033030864,2997731.483
26,Albania,2011,0.752,77.031,2905195.0,Europe,2.402041009,6932314.397000001,1.030949292,2975329.975
27,Albania,2012,0.759,77.389,2900401.0,Europe,2.230987301,6426738.012999999,1.0708806709999998,3084853.738
28,Albania,2013,0.7609999999999999,77.702,2895092.0,Europe,2.189181021,6312021.919,1.0436032370000001,3009000.3710000003
29,Albania,2014,0.762,77.96300000000001,2889104.0,Europe,2.1416346369999997,6188638.631,1.051547003,3038634.272
30,Algeria,2000,0.644,70.292,31183660.0,Africa,1.43947969,44888301.69,0.476661585,14864071.5
31,Algeria,2001,0.653,70.778,31592153.0,Africa,1.5537382830000002,49083059.71,0.551796506,17431417.6
32,Algeria,2002,0.6629999999999999,71.27600000000001,31995046.0,Africa,1.6859852130000001,53935342.03,0.520160721,16640149.75
33,Algeria,2003,0.6729999999999999,71.78,32403514.0,Africa,1.813724133,58755412.63,0.621008999,20117524.66
34,Algeria,2004,0.68,72.281,32831096.0,Africa,1.8663384980000002,61248002.31,0.627975575,20608399.55
35,Algeria,2005,0.6859999999999999,72.767,33288437.0,Africa,1.8960241519999999,63076738.93,0.5985484870000001,19912450.27
36,Algeria,2006,0.69,73.225,33777915.0,Africa,1.913115795,64566320.41,0.61037147,20599610.32
37,Algeria,2007,0.6970000000000001,73.648,34300076.0,Africa,1.926553306,66007569.38,0.579520016,19855514.8
38,Algeria,2008,0.705,74.032,34860715.0,Africa,2.023574532,70442858.57,0.501470029,17456724.1
39,Algeria,2009,0.7140000000000001,74.374,35465760.0,Africa,2.232958249,79050743.09,0.6510076020000001,23046841.44
40,Algeria,2010,0.7240000000000001,74.676,36117637.0,Africa,2.1543251569999997,77633690.54,0.617100644,22237961.73
41,Algeria,2011,0.732,74.944,36819558.0,Africa,2.326286674,85414504.08,0.609967212,22396228.07
42,Algeria,2012,0.737,75.187,37565847.0,Africa,2.41715815,90496947.07,0.625056801,23401750.6
43,Algeria,2013,0.741,75.418,38338562.0,Africa,2.481657282,94764817.03,0.6234460629999999,23806974.68
44,Algeria,2014,0.743,75.641,39113313.0,Africa,2.448755226,95340572.5,0.541530572,21084114.19
45,Angola,2000,0.391,47.113,16440924.0,Africa,0.7666148690000001,11544146.37,3.443740038,51857902.39
46,Angola,2001,0.401,48.2,16983266.0,Africa,0.773984297,12045362.67,3.36628592,52388833.85
47,Angola,2002,0.406,49.341,17572649.0,Africa,0.8190179040000001,13194132.89,3.28406245,52905261.49
48,Angola,2003,0.415,50.508,18203369.0,Africa,0.825846227,13784530.03,3.1640159860000003,52811857.67
49,Angola,2004,0.426,51.676,18865716.0,Africa,0.82386563,14249168.0,3.0814717910000002,53295595.37
50,Angola,2005,0.439,52.833,19552542.0,Africa,0.810105877,14511345.88,2.980128971,53382753.41
51,Angola,2006,0.45399999999999996,53.974,20262399.0,Africa,0.804743153,14921145.16,2.863065188,53085523.18
52,Angola,2007,0.46799999999999997,55.096000000000004,20997687.0,Africa,0.85218941,16348316.76,2.788701395,53498169.78
53,Angola,2008,0.48,56.18899999999999,21759420.0,Africa,1.054195385,20917661.91,2.7081378810000003,53735686.38
54,Angola,2009,0.488,57.231,22549547.0,Africa,1.252541082,25702267.76,2.703461378,55475296.77
55,Angola,2010,0.495,58.192,23369131.0,Africa,1.0240783279999999,21730942.11,2.630300246,55814971.22
